COD;TIPO;DESDE;PRECIO
2117;A;18/10/2006;47
2117;A;23/07/2007;48
2117;A;20/09/2007;53
2117;A;21/02/2008;59.5
2117;A;27/10/2008;65
2117;A;26/10/2009;68
2118;A;12/09/2002;43
2118;A;01/08/2003;43
2118;A;01/12/2004;45
2118;A;10/08/2005;45
2118;A;18/10/2006;47
2118;A;23/07/2007;48
2118;A;20/09/2007;53
2118;A;21/02/2008;59.5
2118;A;27/10/2008;65
2118;A;12/10/2009;68
2119;A;12/09/2002;43
2119;A;01/08/2003;43
2119;A;01/12/2004;45
2119;A;10/08/2005;45
2119;A;18/10/2006;47
2119;A;23/07/2007;48
2119;A;20/09/2007;53
2119;A;21/02/2008;59.5
2119;A;27/10/2008;65
2119;A;12/10/2009;68
2120;A;12/09/2002;43
2120;A;01/08/2003;43
2120;A;01/12/2004;45
2120;A;10/08/2005;45
2120;A;18/10/2006;47
2120;A;23/07/2007;48
2120;A;20/09/2007;53
2120;A;21/02/2008;59.5
2120;A;27/10/2008;65
2120;A;12/10/2009;68
2121;A;12/09/2002;43
2121;A;01/08/2003;43
2121;A;01/12/2004;45
2121;A;10/08/2005;45
2121;A;18/10/2006;47
2121;A;20/10/2007;53
2121;A;16/01/2011;68
2122;A;12/09/2002;43
2122;A;01/08/2003;43
2122;A;01/12/2004;45
2122;A;10/08/2005;45
2122;A;18/10/2006;47
2122;A;20/10/2007;53
2122;A;16/01/2011;68
2123;A;12/09/2002;43
2123;A;01/08/2003;43
2123;A;01/12/2004;45
2123;A;10/08/2005;45
2123;A;18/10/2006;47
2123;A;23/07/2007;48
2123;A;20/09/2007;53
2123;A;21/02/2008;59.5
2123;A;27/10/2008;65
2123;A;12/10/2009;68
2124;A;12/09/2002;43
2124;A;01/08/2003;43
2124;A;01/12/2004;45
2124;A;10/08/2005;45
2125;A;12/09/2002;43
2125;A;01/08/2003;43
2125;A;01/12/2004;45
2125;A;10/08/2005;45
2125;A;18/10/2006;47
2125;A;23/07/2007;48
2125;A;20/09/2007;53
2125;A;21/02/2008;59.5
2125;A;27/10/2008;65
2125;A;12/10/2009;68
2126;A;12/09/2002;43
2126;A;01/08/2003;43
2126;A;01/12/2004;45
2126;A;10/08/2005;45
2126;A;18/10/2006;47
2126;A;23/07/2007;48
2126;A;20/09/2007;53
2126;A;21/02/2008;59.5
2126;A;27/10/2008;65
2126;A;16/01/2011;68
2127;A;12/09/2002;43
2127;A;01/08/2003;43
2127;A;01/12/2004;45
2127;A;10/08/2005;45
2127;A;18/10/2006;47
2127;A;23/07/2007;48
2127;A;20/09/2007;53
2127;A;21/02/2008;59.5
2127;A;27/10/2008;65
2127;A;12/10/2009;68
2128;A;12/09/2002;43
2128;A;01/08/2003;43
2128;A;01/12/2004;45
2128;A;10/08/2005;45
2128;A;18/10/2006;47
2128;A;23/07/2007;48
2128;A;20/09/2007;53
2128;A;21/02/2008;59.5
2128;A;27/10/2008;65
2128;A;12/10/2009;68
2129;A;01/12/2004;45
2129;A;10/08/2005;45
2130;A;01/08/2003;43
2130;A;01/12/2004;45
2130;A;10/08/2005;45
2130;A;18/10/2006;47
2130;A;23/07/2007;48
2130;A;20/09/2007;53
2130;A;21/02/2008;59.5
2130;A;27/10/2008;65
2130;A;12/10/2009;68
2131;A;01/10/2002;43
2131;A;01/08/2003;43
2131;A;01/12/2004;45
2131;A;10/08/2005;45
2131;A;18/10/2006;47
2131;A;20/10/2007;53
2131;A;16/01/2011;68
2132;A;12/09/2002;43
2132;A;01/08/2003;43
2132;A;01/12/2004;45
2132;A;10/08/2005;45
2132;A;18/10/2006;47
2132;A;23/07/2007;48
2132;A;20/09/2007;53
2132;A;21/02/2008;59.5
2132;A;27/10/2008;65
2132;A;12/10/2009;68
2133;A;13/03/2003;43
2133;A;01/08/2003;43
2133;A;01/12/2004;45
2133;A;10/08/2005;45
2133;A;18/10/2006;47
2133;A;20/10/2007;53
2133;A;16/01/2011;68
2134;A;13/03/2003;43
2134;A;01/08/2003;43
2134;A;01/12/2004;45
2134;A;10/08/2005;45
2134;A;18/10/2006;47
2134;A;20/10/2007;53
2134;A;16/01/2011;68
2135;A;01/12/2004;45
2135;A;10/08/2005;45
2135;A;18/10/2006;47
2135;A;20/10/2007;53
2135;A;16/01/2011;68
2136;A;12/09/2002;43
2136;A;01/08/2003;43
2136;A;01/12/2004;45
2136;A;10/08/2005;45
2136;A;18/10/2006;47
2136;A;23/07/2007;48
2136;A;20/09/2007;53
2136;A;21/02/2008;59.5
2136;A;27/10/2008;65
2136;A;30/12/2009;68
2137;A;10/08/2005;45
2137;A;18/10/2006;47
2137;A;23/07/2007;48
2137;A;20/09/2007;53
2137;A;21/02/2008;59.5
2137;A;27/10/2008;65
2137;A;12/10/2009;68
2138;A;10/08/2005;45
2138;A;18/10/2006;47
2138;A;21/02/2008;59.5
2138;A;27/10/2008;65
2138;A;16/01/2011;68
2139;A;27/08/2005;45
2139;A;18/10/2006;47
2139;A;16/01/2011;68
2140;A;12/09/2002;14
2140;A;01/08/2003;14
2140;A;18/10/2006;15
2140;A;23/07/2007;16
2140;A;20/09/2007;19
2140;A;21/02/2008;19
2140;A;27/10/2008;22
2140;A;12/10/2009;23.5
2141;A;12/09/2002;14
2141;A;01/08/2003;14
2141;A;18/10/2006;15
2141;A;23/07/2007;16
2141;A;20/09/2007;19
2141;A;21/02/2008;19
2141;A;27/10/2008;22
2141;A;12/10/2009;23.5
2142;A;12/09/2002;14
2142;A;01/08/2003;14
2142;A;18/10/2006;15
2142;A;23/07/2007;16
2142;A;20/09/2007;19
2142;A;21/02/2008;19
2142;A;27/10/2008;22
2142;A;12/10/2009;23.5
2143;A;12/09/2002;14
2143;A;01/08/2003;14
2143;A;18/10/2006;15
2143;A;23/07/2007;16
2143;A;20/09/2007;19
2143;A;21/02/2008;19
2143;A;27/10/2008;22
2143;A;12/10/2009;23.5
2144;A;12/09/2002;14
2144;A;01/08/2003;14
2144;A;18/10/2006;15
2144;A;23/07/2007;16
2144;A;20/09/2007;19
2144;A;21/02/2008;19
2144;A;27/10/2008;22
2144;A;12/10/2009;23.5
2145;A;12/09/2002;14
2145;A;01/08/2003;14
2146;A;12/09/2002;14
2146;A;01/08/2003;14
2146;A;18/10/2006;15
2146;A;23/07/2007;16
2146;A;20/09/2007;19
2146;A;21/02/2008;19
2146;A;27/10/2008;23.5
2147;A;24/11/2004;13
2148;A;24/11/2004;13
2149;A;24/11/2004;13
2150;A;21/12/2005;14
2150;A;18/10/2006;15
2150;A;12/12/2006;12
2150;A;23/07/2007;16
2150;A;20/09/2007;19
2150;A;21/02/2008;12
2151;A;27/08/2005;45
2151;A;18/10/2006;47
2151;A;16/01/2011;68
2152;A;27/08/2005;45
2152;A;18/10/2006;47
2152;A;23/07/2007;48
2152;A;20/09/2007;53
2152;A;16/01/2011;68
2160;A;12/09/2002;35
2160;A;01/08/2003;35
2160;A;01/12/2004;38
2160;A;10/08/2005;40
2160;A;01/12/2006;42
2160;A;14/01/2008;43
2160;A;21/02/2008;47
2160;A;27/10/2008;50
2160;A;12/10/2009;55
2161;A;12/09/2002;35
2161;A;01/08/2003;35
2161;A;01/12/2004;38
2161;A;10/08/2005;40
2161;A;18/10/2006;42
2161;A;23/07/2007;43
2161;A;21/02/2008;47
2161;A;27/10/2008;50
2161;A;12/10/2009;55
2162;A;23/07/1907;43
2162;A;12/09/2002;35
2162;A;01/08/2003;35
2162;A;01/12/2004;38
2162;A;10/08/2005;40
2162;A;01/07/2007;42
2162;A;16/01/2011;55
2163;A;12/09/2002;35
2163;A;01/08/2003;35
2163;A;01/12/2004;38
2163;A;10/08/2005;40
2163;A;18/10/2006;42
2163;A;23/07/2007;43
2163;A;21/02/2008;47
2163;A;27/10/2008;50
2163;A;12/10/2009;55
2164;A;12/09/2002;35
2164;A;01/08/2003;35
2164;A;01/12/2004;38
2164;A;10/08/2005;40
2164;A;01/07/2007;42
2164;A;21/02/2008;47
2164;A;27/10/2008;50
2164;A;16/01/2011;55
2165;A;12/09/2002;35
2165;A;01/08/2003;35
2165;A;01/12/2004;38
2165;A;10/08/2005;40
2165;A;18/10/2006;42
2165;A;23/07/2007;43
2165;A;21/02/2008;47
2165;A;27/10/2008;50
2165;A;12/10/2009;55
2166;A;12/09/2002;35
2166;A;01/08/2003;35
2166;A;01/12/2004;38
2166;A;10/08/2005;40
2166;A;18/10/2006;42
2166;A;23/07/2007;43
2166;A;21/02/2008;47
2166;A;27/10/2008;50
2166;A;12/10/2009;55
2167;A;23/07/1907;43
2167;A;12/09/2002;35
2167;A;01/08/2003;35
2167;A;01/12/2004;38
2167;A;10/08/2005;40
2167;A;18/10/2006;42
2167;A;23/07/2007;43
2167;A;21/02/2008;47
2167;A;27/10/2008;50
2167;A;12/10/2009;55
2168;A;12/09/2002;35
2168;A;01/08/2003;35
2168;A;01/12/2004;38
2168;A;10/08/2005;40
2168;A;18/10/2006;42
2168;A;13/10/2007;43
2168;A;21/02/2008;47
2168;A;27/10/2008;50
2168;A;01/02/2010;55
2169;A;12/09/2002;35
2169;A;01/08/2003;35
2169;A;01/12/2004;38
2169;A;10/08/2005;40
2169;A;18/10/2006;42
2169;A;23/07/2007;43
2169;A;21/02/2008;47
2169;A;27/10/2008;50
2169;A;12/10/2009;55
2170;A;12/09/2002;35
2170;A;01/08/2003;35
2170;A;01/12/2004;38
2170;A;10/08/2005;40
2170;A;18/10/2006;42
2170;A;23/07/2007;43
2170;A;21/02/2008;47
2170;A;27/10/2008;50
2170;A;12/10/2009;55
2171;A;12/09/2002;35
2171;A;01/08/2003;35
2171;A;01/12/2004;38
2171;A;10/08/2005;40
2171;A;18/10/2006;42
2171;A;16/01/2011;55
2172;A;12/09/2002;35
2172;A;01/08/2003;35
2172;A;01/12/2004;38
2172;A;10/08/2005;40
2172;A;18/10/2006;42
2172;A;23/07/2007;43
2172;A;21/02/2008;47
2172;A;27/10/2008;50
2172;A;12/10/2009;55
2173;A;12/09/2002;35
2173;A;01/08/2003;35
2173;A;01/12/2004;38
2173;A;10/08/2005;40
2173;A;18/10/2006;42
2173;A;23/07/2007;43
2173;A;21/02/2008;47
2173;A;27/10/2008;50
2173;A;01/02/2010;55
2174;A;12/09/2002;35
2174;A;01/08/2003;35
2174;A;01/12/2004;38
2174;A;10/08/2005;40
2174;A;18/10/2006;42
2174;A;23/07/2007;43
2174;A;21/02/2008;47
2174;A;27/10/2008;50
2174;A;12/10/2009;55
2175;A;12/09/2002;35
2175;A;01/08/2003;35
2175;A;01/12/2004;38
2175;A;10/08/2005;40
2175;A;18/10/2006;42
2175;A;23/07/2007;43
2175;A;21/02/2008;47
2175;A;27/10/2008;50
2175;A;12/10/2009;55
2176;A;12/09/2002;35
2176;A;01/08/2003;35
2176;A;01/12/2004;38
2176;A;10/08/2005;40
2176;A;21/02/2008;47
2176;A;27/10/2008;50
2177;A;12/09/2002;35
2177;A;01/08/2003;35
2177;A;01/12/2004;38
2177;A;10/08/2005;40
2177;A;01/12/2006;42
2177;A;09/10/2007;43
2177;A;21/02/2008;47
2177;A;27/10/2008;50
2177;A;01/03/2010;55
2178;A;12/09/2002;35
2178;A;01/08/2003;35
2178;A;01/12/2004;38
2178;A;10/08/2005;40
2179;A;12/09/2002;35
2179;A;01/08/2003;35
2179;A;01/12/2004;38
2179;A;10/08/2005;40
2180;A;12/09/2002;35
2180;A;01/08/2003;35
2180;A;01/12/2004;38
2180;A;10/08/2005;40
2181;A;01/04/2003;35
2181;A;01/08/2003;35
2181;A;01/12/2004;38
2181;A;10/08/2005;40
2181;A;21/02/2008;47
2181;A;27/10/2008;50
2182;A;12/03/2003;35
2182;A;01/08/2003;35
2182;A;01/12/2004;38
2182;A;10/08/2005;40
2182;A;21/02/2008;47
2182;A;27/10/2008;50
2182;A;01/02/2010;55
2183;A;08/09/2003;40
2184;A;08/09/2003;40
2185;A;08/09/2003;40
2186;A;12/08/2005;40
2186;A;01/07/2007;42
2186;A;10/10/2007;43
2186;A;21/02/2008;47
2186;A;27/10/2008;50
2186;A;01/01/2010;55
2187;A;10/08/2005;40
2187;A;21/02/2008;47
2187;A;27/10/2008;50
2188;A;27/08/2005;40
2188;A;18/10/2006;42
2188;A;23/07/2007;43
2188;A;16/01/2011;55
2189;A;27/08/2005;40
2189;A;18/10/2006;42
2189;A;16/01/2011;55
2190;A;27/09/2002;40
2190;A;01/08/2003;40
2190;A;13/05/2006;43
2190;A;18/10/2006;43
2190;A;16/05/2007;50
2190;A;21/02/2008;56.5
